id,ident,type,name,lat,lon,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
19373,KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,NA,United States,US,Maine,US-ME,ME,Bar Harbor,1,KBHB,BHB,BHB,,https://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport,,500,2010-09-24T19:09:08+00:00
20890,KPVU,medium_airport,Provo-Utah Lake International Airport,40.2192,-111.723,4497,NA,United States,US,Utah,US-UT,UT,Provo,1,KPVU,PVU,PVU,http://www.provo.org/city-services/airport,https://en.wikipedia.org/wiki/Provo_Municipal_Airport,,500,2021-07-31T17:04:52+00:00
20777,KOWD,medium_airport,Norwood Memorial Airport,42.19049835,-71.17289734,49,NA,United States,US,Massachusetts,US-MA,MA,Norwood,0,KOWD,OWD,OWD,http://www.ci.norwood.ma.us/Airport/Default.htm,https://en.wikipedia.org/wiki/Norwood_Memorial_Airport,,250,2014-07-24T19:12:22+00:00
20141,KI69,small_airport,Clermont County Airport,39.07839966,-84.21019745,843,NA,United States,US,Ohio,US-OH,OH,Batavia,0,KI69,,I69,,,,50,2010-01-23T11:29:07+00:00
19983,KGTU,small_airport,Georgetown Municipal Airport,30.677543,-97.678524,790,NA,United States,US,Texas,US-TX,TX,Georgetown,0,KGTU,,GTU,,,,50,2021-05-30T22:43:03+00:00
3769,KPFN,closed,Panama City-Bay Co International Airport,30.212099,-85.6828,20,NA,United States,US,Florida,US-FL,FL,Panama City,0,,,,,https://en.wikipedia.org/wiki/Panama_City-Bay_County_International_Airport,"KPFN, PFN",1050,2019-08-06T22:00:07+00:00
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,United States,US,New York,US-NY,NY,Binghamton,1,KBGM,BGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field",750,2010-01-23T11:27:46+00:00
3508,KEKO,medium_airport,Elko Regional Airport,40.82490158,-115.7919998,5140,NA,United States,US,Nevada,US-NV,NV,Elko,1,KEKO,EKO,EKO,,https://en.wikipedia.org/wiki/Elko_Regional_Airport,,750,2008-06-13T14:30:04+00:00
3555,KGGG,medium_airport,East Texas Regional Airport,32.38399887,-94.71150208,365,NA,United States,US,Texas,US-TX,TX,Longview,1,KGGG,GGG,GGG,,https://en.wikipedia.org/wiki/East_Texas_Regional_Airport,,750,2008-06-13T14:30:04+00:00
3635,KLBF,medium_airport,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,2777,NA,United States,US,Nebraska,US-NE,NE,North Platte,1,KLBF,LBF,LBF,,https://en.wikipedia.org/wiki/North_Platte_Regional_Airport,,750,2010-01-23T11:27:55+00:00
3856,KROW,medium_airport,Roswell Air Center Airport,33.301601,-104.530998,3671,NA,United States,US,New Mexico,US-NM,NM,Roswell,1,KROW,ROW,ROW,,https://en.wikipedia.org/wiki/Roswell_International_Air_Center,"Roswell Army Air Field, Walker Air Force Base",750,2020-05-30T15:27:01+00:00
